"Year","Week Number","City","Average House Prices","n","SD","SE"
"2005","23","CAMDEN",415499.837209302,43,231230.81787757,35262.3691431683
"2005","23","CITY OF LONDON",298083.333333333,6,53822.3156940192,21972.8683708897
"2005","23","CITY OF WESTMINSTER",439939.144578313,83,293432.910334407,32208.4462594774
"2005","24","CAMDEN",455824.126984127,63,389519.741593144,49074.8746193144
"2005","24","CITY OF LONDON",244000,2,90509.6679918781,64000
"2005","24","CITY OF WESTMINSTER",452075.106382979,94,319963.081562376,33001.672034187
"2005","25","CAMDEN",429740.186666667,75,290942.619749208,33595.159966188
"2005","25","CITY OF LONDON",309000,5,53781.9672380994,24052.0269416114
"2005","25","CITY OF WESTMINSTER",432804.581395349,129,327066.441233341,28796.5944612591
"2005","26","CAMDEN",459244.034188034,117,315366.820646128,29155.6728825556
"2005","26","CITY OF LONDON",299625,16,70504.7279738506,17626.1819934626
"2005","26","CITY OF WESTMINSTER",510512.718181818,110,510942.989361883,48716.5025593864
"2005","27","CAMDEN",417438.557142857,70,318369.456234153,38052.4282429293
"2005","27","CITY OF LONDON",310714.285714286,7,63086.4863651857,23844.4505730212
"2005","27","CITY OF WESTMINSTER",583529.333333333,75,629047.492626176,72636.1478401564
"2005","28","CAMDEN",512109.881578947,76,526830.579021124,60431.611955792
"2005","28","CITY OF LONDON",315833.333333333,6,91129.3951843568,37203.4197950194
"2005","28","CITY OF WESTMINSTER",381876.917293233,133,394702.17800942,34225.0193544851
"2005","29","CAMDEN",520365.441176471,68,631922.260549044,76631.8302183175
"2005","29","CITY OF LONDON",356425,4,109985.404334696,54992.7021673482
"2005","29","CITY OF WESTMINSTER",599463.930693069,101,669839.653926583,66651.5367134339
"2005","30","CAMDEN",475105.683544304,79,485373.604782811,54608.797016999
"2005","30","CITY OF LONDON",387444.444444444,9,103198.971786437,34399.6572621456
"2005","30","CITY OF WESTMINSTER",608767.49122807,114,540366.693986613,50609.9778639169
"2005","31","CAMDEN",493742.2,70,590942.304606327,70631.1148931482
"2005","31","CITY OF LONDON",278629,5,65587.6661804641,29331.6960130164
"2005","31","CITY OF WESTMINSTER",579857.070707071,99,590448.509609869,59342.308012136
"2010","23","CAMDEN",448753.333333333,15,220392.694546629,56905.1490403249
"2010","23","CITY OF LONDON",680000,2,77781.7459305202,55000
"2010","23","CITY OF WESTMINSTER",747028.8,25,735105.005669938,147021.001133988
"2010","24","CAMDEN",589197.615384615,52,354090.574773929,49103.5278271507
"2010","24","CITY OF LONDON",404592.444444444,9,122095.492328864,40698.4974429548
"2010","24","CITY OF WESTMINSTER",1033882.46575342,73,1556590.97725833,182185.19369346
"2010","25","CAMDEN",670484.087719298,57,567400.290325102,75154.0043943698
"2010","25","CITY OF LONDON",467485.714285714,7,208725.099741034,78890.6723274184
"2010","25","CITY OF WESTMINSTER",804600.210526316,95,596257.242708995,61174.7023293413
"2010","26","CAMDEN",780208.911392405,79,769504.768940958,86576.0505240347
"2010","26","CITY OF LONDON",657600,10,419454.46051323,132643.146993897
"2010","26","CITY OF WESTMINSTER",853084.429824562,114,901669.889048485,84449.1224813251
"2010","27","CAMDEN",713755.357142857,56,748191.652809904,99981.3151592422
"2010","27","CITY OF LONDON",487500,5,128719.65661856,57565.1804479062
"2010","27","CITY OF WESTMINSTER",854956.777777778,81,765123.36368621,85013.7070762455
"2010","28","CAMDEN",1013531.68253968,63,940660.663505997,118512.103987518
"2010","28","CITY OF LONDON",467731.666666667,6,215467.626377297,87964.2901188381
"2010","28","CITY OF WESTMINSTER",925266.780487805,82,1225180.65372028,135298.569307708
"2010","29","CAMDEN",804039.621951219,82,943107.480107219,104148.798280843
"2010","29","CITY OF LONDON",450000,2,0,0
"2010","29","CITY OF WESTMINSTER",786161.281690141,71,677335.563436031,80384.942312828
"2010","30","CAMDEN",769525.148148148,54,1018150.80177945,138552.774753623
"2010","30","CITY OF LONDON",434583.25,12,198874.283230352,57410.0604789689
"2010","30","CITY OF WESTMINSTER",732361.545454546,77,698481.675893629,79599.3744313319
"2010","31","CAMDEN",697467.453333333,75,579810.134946784,66950.7074980798
"2010","31","CITY OF LONDON",456500,5,118843.384334173,53148.377209469
"2010","31","CITY OF WESTMINSTER",841235.853333333,75,799607.327962593,92330.7012090401
